country,code,distance,gini,gdp_procapita,arrivals_5,arrivals_4,arrivals_3,arrivals_2,arrivals_1,arrivals_total,stays_total
Total,total,,,,,,,,,9720505,22962129
France,fr,1105,32.7,35300,37361,130525,140780,27691,11213,347570,997042
Germany,de,1184,27,38700,27900,200736,156467,49757,11858,446718,1398247
United Kingdom,gb,1434,40,36600,56949,235267,187307,25955,7613,513091,1467115
Belgium,be,1174,28,37500,6257,28539,28615,11266,449,75126,206377
Luxembourg,lu,1008,26,78000,577,2905,1852,78,,5412,14490
Netherlands,nl,1297,30.9,41500,6815,37703,40311,11006,2879,98714,292077
Austria,at,766,26,42000,3635,21982,22560,8577,1084,57838,160570
Denmark,dk,1534,24.8,37300,3880,18618,30332,18476,3065,74371,230028
Ireland,ie,1887,33.9,40700,3990,30799,19897,4168,800,59654,168133
Spain,es,1363,32,30100,17248,234561,135406,25302,8294,420811,1187927
Portugal,pt,1863,38.5,30100,2193,26070,12020,2350,320,42953,113577
Greece,gr,1055,33,24300,4612,35937,13547,2175,961,57232,157355
Sweden,se,1979,23,40300,6148,38759,35909,7188,1326,89330,257396
Finland,fi,2205,26.8,35800,2195,12548,12630,3615,573,31561,89228
Iceland,is,3302,28,39700,109,1539,,,,1648,3490
Switzerland,ch,689,29.6,44900,9025,27490,21236,5140,948,63839,170073
Poland,pl,1318,34.1,20600,1852,14020,13249,7101,2447,38669,99101
Russian Federation,ru,2381,41.7,17500,26955,93071,72183,9362,2689,204260,606882
Norway,no,2009,25,54400,4367,23783,31783,6462,470,66865,204578
Croatia,hr,519,32,17600,478,2595,1695,314,83,5165,12534
Czech Republic,cz,923,31,27000,1094,9458,4611,2645,682,18490,47442
Slovakia,sk,785,26,24100,306,2543,1378,798,292,5317,11886
Slovenia,si,491,23.8,27800,272,2405,2054,404,86,5221,12084
Turkey,tr,1380,40.2,14800,3619,19327,6742,2068,487,32243,76013
Hungary,hu,812,24.7,19500,867,7178,5796,2614,930,17385,44990
United States,us,7225,45,51700,202995,826502,364113,39040,7631,1440281,3653422
Canada,ca,6736,32.1,42300,17555,88231,51779,7772,1542,166879,427998
Mexico,mx,10252,51.7,15400,5270,29942,15438,3885,441,54976,139669
Argentina,ar,11165,45.8,17900,3367,28795,23259,6383,1566,63370,162901
Brazil,br,9211,50.8,11700,11985,55518,39708,9516,1973,118700,314837
Venezuela,ve,8365,39,13500,1402,10194,6243,1623,397,19859,49573
Japan,jp,9874,37.6,35900,19179,348443,57382,3912,432,429348,966405
China,cn,8139,47.4,9100,10800,69680,15859,6641,1042,104022,199702
South Korea,kr,8981,31.1,31900,1401,46021,15593,1721,147,64883,132412
India,in,5928,36.8,3800,2659,20810,6265,2065,128,31927,71416
Israel,il,2257,37.6,33900,4256,18650,16031,1154,84,40175,108241
Egypt,eg,2137,34.4,6500,1745,5298,2033,355,91,9522,24067
South Africa,za,8465,65,11300,1550,4829,3310,948,414,11051,27082
Australia,au,16347,30.3,42000,9728,45543,49310,4289,1996,110866,257771
New Zealand,nz,18572,36.2,29500,576,5909,5473,133,198,12289,31140
